id,name,address,city,state,lat,lon,price_per_gallon
52605,PILOT TRAVEL CENTERS #39,"I-57, EXIT 335",Monee,IL,41.443273,-87.751212,3.399
71099,THORNTONS #336,"I-57, EXIT 335 & SR-50",Monee,IL,41.424231,-87.743016,3.349
66932,CIRCLE K #4701444,US-34 & SR-164,Monmouth,IL,40.938322,-90.671772,3.399
71024,LOVES TRAVEL STOP #804,US-34/US-67,Monmouth,IL,40.888666,-90.64452,3.349
71654,LOVES TRAVEL STOP  #851,"I-39/US-51, EXIT 111 & SR-72",Monroe Center,IL,42.14294,-89.024076,3.749
67923,MONROE CENTER BP OASIS,"I-39, EXIT 111/US-51 & SR-72",Monroe Center,IL,42.137879,-89.044337,3.599
71804,GAS N WASH,I-88 EXIT 114,Montgomery,IL,41.714185,-88.368781,3.599
68031,ORCHARD STOP BP,US-30,Montgomery,IL,41.735708,-88.312796,3.549
71877,LOVES TRAVEL STOP #859,"I-80, EXIT 116 & US-6",Morris,IL,41.367435,-88.389288,3.789
69221,PILOT TRAVEL CENTER #483,"I-80, EXIT 112 & SR-47",Morris,IL,41.386053,-88.438412,3.799
7459,TA Morris Travel Center,"I-80, EXIT 112 & SR-47",Morris,IL,41.334905,-88.445888,3.849
70705,CASEYS #3464,SR-48 & CR-10,Morrisonville,IL,39.42729,-89.467421,3.759
64664,CIRCLE K #4701424,"I-74, EXIT 102",Morton,IL,40.596888,-89.490828,3.599
70434,HUCKS FOOD & FUEL #371,SR-148 & SR-142,Mount Vernon,IL,38.343135,-88.898892,3.099
5537,HUCKS TRAVEL CENTER #51 DBA FLYING J #889,"I-57/I-64, EXIT 95 & SR-15",Mount Vernon,IL,38.312888,-88.95008,3.359
71515,LOVES TRAVEL STOP #824,"I-64 & SR-37, Exit 80",Mount Vernon,IL,38.331885,-88.942388,3.349
66227,Pilot Travel Center #482,"I-57, EXIT 95",Mount Vernon,IL,38.281913,-88.912647,3.359
72674,QUIKTRIP #7190,I-64 EXIT 94,Mount Vernon,IL,38.306035,-88.87776,3.099
70652,ROADYS MACH 1 #14,I-57 EXIT 94,Mount Vernon,IL,38.297115,-88.922483,3.099
5670,TA MOUNT VERNON TRAVEL CENTER,"I-57 & I-64, EXIT 95",Mount Vernon,IL,38.33872,-88.891685,3.449
70772,CASEYS #3554,"I-70, EXIT 52",Mulberry Grove,IL,38.929213,-89.225507,3.489
2227,SPEEDWAY #7448,SR-59,Naperville,IL,41.730489,-88.169064,3.299
66465,Knapp Truck Stop,"I-64, EXIT 50 & SR-127",Nashville,IL,38.342483,-89.358676,3.299
2640,LITTLE NASHVILLE,"I-64, EXIT 50 & SR-127",Nashville,IL,38.348095,-89.349407,3.299
69459,LOVES TRAVEL STOP #583,"I-64, EXIT 27 & SR-161",New Baden,IL,38.566931,-89.665223,3.849
63955,ROAD RANGER #266,"I-72, EXIT 82 & CR-10",New Berlin,IL,39.738526,-89.846722,3.439
72113,Food N Fuel,US-6 & CR-4,New Lenox,IL,41.520141,-87.97571,3.399
71879,Gas N Wash Schoolhouse,FM-74,New Lenox,IL,41.492739,-87.964725,3.699
71898,Loves Travel Stop #867,I-55 Exit 165,Normal,IL,40.534419,-88.995198,3.389
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,42.364576,-87.816712,3.289
70323,LOVES TRAVEL STOP #750,I-74 EXIT 206,Oakwood,IL,40.142037,-87.756897,3.389
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,40.110915,-87.821726,3.399
70595,SPEEDWAY #6509,"I-74, EXIT 206",Oakwood,IL,40.097807,-87.816342,3.199
66393,VILLAGE PANTRY #5210,"I-74, EXIT 206",Oakwood,IL,40.138021,-87.770677,3.179
71021,Amoco,"I-39 & HWY 23, EXIT 54",Oglesby,IL,41.310901,-89.064813,3.199
69112,LOVES TRAVEL STOP #529,"I-39, EXIT 54",Oglesby,IL,41.330589,-89.039802,3.389
5951,ROAD RANGER #157,I-64 EXIT 41,Okawville,IL,38.454405,-89.560216,3.799
71151,LOVES TRAVEL STOP #880,US-50 & SR-130,Olney,IL,38.763469,-88.044833,3.189
60857,RED ROOSTER TERMINAL,US-50/SR-250 & SR-130,Olney,IL,38.706433,-88.075119,3.189
69553,SPEEDWAY #2120,US-30,Oswego,IL,41.69071,-88.363402,3.249
67397,EXPRESS LANE #51,I-80 EXIT 93 ROUTE 71,Ottawa,IL,41.348861,-88.879412,3.599
67795,ROAD RANGER #263,"I-80, EXIT 93",Ottawa,IL,41.31371,-88.872647,3.219
71229,THE PRIDE OF PALATINE,"I-90, EXIT 65 & SR-62",Palatine,IL,42.10639,-88.041952,3.399
72958,Jack Flash Pana,SR-16,Pana,IL,39.373807,-89.098181,3.099
68522,MINIT MART #600632,"I-474, EXIT 9 & SR-29",Pekin,IL,40.57748,-89.656562,3.739
66718,Bartonville SHELL,"I-474, EXIT 6",Peoria,IL,40.711961,-89.625415,4.299
72743,PEOTONE TRAVEL CENTER,I-57 & SR-25,Peotone,IL,41.336803,-87.820618,3.459
72501,QUIKTRIP #7203,"I-80, EXIT 75 &SR-251",Peru,IL,41.335743,-89.162723,2.969
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.372943,-89.099618,3.289
70026,SPEEDWAY #8883,I-80 EXIT 73,Peru,IL,41.319677,-89.102329,3.149
70433,GAS N WASH,SR-126,Plainfield,IL,41.60785,-88.215922,3.599
72855,GAS N WASH,SR 59,Plainfield,IL,41.579575,-88.16965,3.559
69594,SPEEDWAY #8480,US-30 & CR-36,Plainfield,IL,41.603957,-88.222613,3.279
72500,GAS N WASH,US 34,Plano,IL,41.678275,-88.519259,3.499
67721,J AND D COUNTRYSIDE MARTHON,SR-76 & SR-173,Poplar Grove,IL,42.379605,-88.830475,3.499
70615,THORNTONS #0334,I-57 EXIT 350 & SR-83,Posen,IL,41.659873,-87.679541,3.399
68626,BECKS EXPRESS MART #14,SR-26,Princeton,IL,41.386662,-89.462161,3.249
66123,ROAD RANGER #225,"I-80, EXIT 56",Princeton,IL,41.353668,-89.393041,3.289
69102,CIRCLE K #4701445,"I-57, EXIT 250 & US-36",Rantoul,IL,40.31861,-88.107552,3.599
72194,Mobil,I-57,Riverdale,IL,41.659884,-87.632411,3.699
71818,TA EXPRESS RIVERTON #433,I-72 EXIT 108,Riverton,IL,39.8435,-89.509722,3.409
66667,CIRCLE K #4701408,"I-36, EXIT 99",Rochelle,IL,41.964195,-89.100383,3.499
64920,KWIK STAR #1530,"I-88/SR-110, EXIT 76 & SR-251",Rochelle,IL,41.956658,-89.109264,3.499
70406,LOVES TRAVEL STOP #754,SR-251,Rochelle,IL,41.903628,-89.108636,3.749
70731,PILOT TRAVEL CENTERS #1181,IL-38 E,Rochelle,IL,41.956945,-89.061627,3.759
10116,Petro Stopping Center #359,"I-39/US-51, EXIT 99 & SR-38",Rochelle,IL,41.928635,-89.071402,3.759
63718,ROAD RANGER #210,"I-39/US-51, EXIT 99 & SR-38",Rochelle,IL,41.948064,-89.038716,3.699
63716,EXPRESS LANE #34,"I-39, EXIT 115",Rockford,IL,42.327958,-89.131725,3.549
72410,KELLEYS MARKET,I-90 Exit 15 & US-20 BUS,Rockford,IL,42.284806,-89.100387,2.969
71142,LOVES TRAVEL STOP #775,US-20 & SR-2,Rockford,IL,42.315736,-89.130698,3.229
72873,QUIKTRIP #7206,I-39 EXIT 15 & US 20,Rockford,IL,42.302089,-89.149595,2.969
63609,ROAD RANGER #203,US-20 & SR-2,Rockford,IL,42.278751,-89.127236,3.219
71097,THORNTONS #329,"I-55, EXIT 267 & SR-53",Romeoville,IL,41.675981,-88.101848,3.309
66747,LOVES TRAVEL STOP #322,"I-90, EXIT 3",Roscoe,IL,42.409917,-89.012911,3.789
70336,SPEEDWAY #3962,"I-39,  EXIT 3 & SR-9",Roscoe,IL,42.423082,-88.999308,3.469
71118,THORNTONS #0331,"I-35/US-51, EXIT 3 & CR-9",Roscoe,IL,42.445619,-89.033767,3.419
70283,SPEEDWAY #3996,US-12 & SR-120,Round Lake,IL,42.382745,-88.076887,3.399
71291,HUCKS FOOD & FUEL #351,"I-57, Exit 116",Salem,IL,38.62826,-88.971743,3.099
70508,7-ELEVEN #34715,I-294 EXIT 20,Schiller Park,IL,41.958507,-87.862969,4.579
70767,CASEYS #3493,SR-72,Shannon,IL,42.197416,-89.760252,3.699
63775,FLYING J #646,"I-90/39, EXIT 1 & US-51 & SR-75",South Beloit,IL,42.456967,-89.028669,3.799
72779,KWIK TRIP #1276,"I-90/I-39, EXIT 1 & SR-75",South Beloit,IL,42.466532,-89.035678,3.299
66057,ROAD RANGER #205,"I-90, EXIT 1",South Beloit,IL,42.506686,-89.026238,3.469
70027,SPEEDWAY #8851,SR-31,South Elgin,IL,42.009216,-88.318927,3.559
69837,LOVES TRAVEL STOP #606,"I-94, EXIT 73B & US-6",South Holland,IL,41.574858,-87.596035,3.329
64491,QUICK FUEL #1803,I-80/I-294 & SR-1,South Holland,IL,41.593488,-87.556237,3.829
